waveform	[0]		[1]	
t0	27/10/2022  15:08:01,347273		27/10/2022  15:08:01,347273	
delta t	4,000000E-7		4,000000E-7	

time[0]	Y[0]	time[1]	Y[1]
27/10/2022  15:08:01,347273	1,281407E+0	27/10/2022  15:08:01,347273	-1,909548E-4
27/10/2022  15:08:01,347274	1,281407E+0	27/10/2022  15:08:01,347274	-2,211055E-4
27/10/2022  15:08:01,347274	1,293970E+0	27/10/2022  15:08:01,347274	-2,010050E-4
27/10/2022  15:08:01,347275	1,293970E+0	27/10/2022  15:08:01,347275	-1,809045E-4
27/10/2022  15:08:01,347275	1,293970E+0	27/10/2022  15:08:01,347275	-1,809045E-4
27/10/2022  15:08:01,347275	1,281407E+0	27/10/2022  15:08:01,347275	-2,211055E-4
27/10/2022  15:08:01,347276	1,293970E+0	27/10/2022  15:08:01,347276	-2,211055E-4
27/10/2022  15:08:01,347276	1,281407E+0	27/10/2022  15:08:01,347276	-2,010050E-4
27/10/2022  15:08:01,347277	1,281407E+0	27/10/2022  15:08:01,347277	-2,311558E-4
27/10/2022  15:08:01,347277	1,293970E+0	27/10/2022  15:08:01,347277	-1,909548E-4
27/10/2022  15:08:01,347277	1,293970E+0	27/10/2022  15:08:01,347277	-2,211055E-4
27/10/2022  15:08:01,347278	1,293970E+0	27/10/2022  15:08:01,347278	-2,110553E-4
27/10/2022  15:08:01,347278	1,281407E+0	27/10/2022  15:08:01,347278	-1,708543E-4
27/10/2022  15:08:01,347279	1,281407E+0	27/10/2022  15:08:01,347279	-1,809045E-4
27/10/2022  15:08:01,347279	1,293970E+0	27/10/2022  15:08:01,347279	-2,110553E-4
27/10/2022  15:08:01,347279	1,281407E+0	27/10/2022  15:08:01,347279	-2,412060E-4
27/10/2022  15:08:01,347280	1,293970E+0	27/10/2022  15:08:01,347280	-1,809045E-4
27/10/2022  15:08:01,347280	1,293970E+0	27/10/2022  15:08:01,347280	-1,809045E-4
27/10/2022  15:08:01,347281	1,281407E+0	27/10/2022  15:08:01,347281	-2,211055E-4
27/10/2022  15:08:01,347281	1,293970E+0	27/10/2022  15:08:01,347281	-2,412060E-4
27/10/2022  15:08:01,347281	1,293970E+0	27/10/2022  15:08:01,347281	-1,909548E-4
27/10/2022  15:08:01,347282	1,293970E+0	27/10/2022  15:08:01,347282	-1,708543E-4
27/10/2022  15:08:01,347282	1,281407E+0	27/10/2022  15:08:01,347282	-2,211055E-4
27/10/2022  15:08:01,347283	1,281407E+0	27/10/2022  15:08:01,347283	-2,110553E-4
27/10/2022  15:08:01,347283	1,281407E+0	27/10/2022  15:08:01,347283	-2,010050E-4
27/10/2022  15:08:01,347283	1,281407E+0	27/10/2022  15:08:01,347283	-2,211055E-4
27/10/2022  15:08:01,347284	1,293970E+0	27/10/2022  15:08:01,347284	-1,909548E-4
27/10/2022  15:08:01,347284	1,293970E+0	27/10/2022  15:08:01,347284	-1,909548E-4
27/10/2022  15:08:01,347285	1,293970E+0	27/10/2022  15:08:01,347285	-2,110553E-4
27/10/2022  15:08:01,347285	1,281407E+0	27/10/2022  15:08:01,347285	-2,110553E-4
27/10/2022  15:08:01,347285	1,293970E+0	27/10/2022  15:08:01,347285	-1,909548E-4
27/10/2022  15:08:01,347286	1,281407E+0	27/10/2022  15:08:01,347286	-2,010050E-4
27/10/2022  15:08:01,347286	1,293970E+0	27/10/2022  15:08:01,347286	-2,211055E-4
27/10/2022  15:08:01,347287	1,293970E+0	27/10/2022  15:08:01,347287	-1,809045E-4
27/10/2022  15:08:01,347287	1,281407E+0	27/10/2022  15:08:01,347287	-2,110553E-4
27/10/2022  15:08:01,347287	1,293970E+0	27/10/2022  15:08:01,347287	-2,010050E-4
27/10/2022  15:08:01,347288	1,281407E+0	27/10/2022  15:08:01,347288	-2,211055E-4
27/10/2022  15:08:01,347288	1,281407E+0	27/10/2022  15:08:01,347288	-2,110553E-4
27/10/2022  15:08:01,347289	1,293970E+0	27/10/2022  15:08:01,347289	-2,110553E-4
27/10/2022  15:08:01,347289	1,281407E+0	27/10/2022  15:08:01,347289	-2,110553E-4
27/10/2022  15:08:01,347289	1,293970E+0	27/10/2022  15:08:01,347289	-1,909548E-4
27/10/2022  15:08:01,347290	1,293970E+0	27/10/2022  15:08:01,347290	-1,909548E-4
27/10/2022  15:08:01,347290	1,281407E+0	27/10/2022  15:08:01,347290	-2,110553E-4
27/10/2022  15:08:01,347291	1,293970E+0	27/10/2022  15:08:01,347291	-1,909548E-4
27/10/2022  15:08:01,347291	1,281407E+0	27/10/2022  15:08:01,347291	-2,110553E-4
27/10/2022  15:08:01,347291	1,281407E+0	27/10/2022  15:08:01,347291	-2,311558E-4
27/10/2022  15:08:01,347292	1,293970E+0	27/10/2022  15:08:01,347292	-2,412060E-4
27/10/2022  15:08:01,347292	1,281407E+0	27/10/2022  15:08:01,347292	-1,708543E-4
27/10/2022  15:08:01,347293	1,281407E+0	27/10/2022  15:08:01,347293	-2,110553E-4
27/10/2022  15:08:01,347293	1,281407E+0	27/10/2022  15:08:01,347293	-2,211055E-4
27/10/2022  15:08:01,347293	1,293970E+0	27/10/2022  15:08:01,347293	-2,010050E-4
27/10/2022  15:08:01,347294	1,281407E+0	27/10/2022  15:08:01,347294	-1,809045E-4
