24/10/2022 10:32:00	Vs
24/10/2022 10:37:00	Vp
24/10/2022 10:51:00	Vs
24/10/2022 10:57:00	Vp
24/10/2022 11:03:00	Vs
24/10/2022 11:22:00	Vp
24/10/2022 11:28:00	Vs
24/10/2022 11:33:00	Vp
24/10/2022 11:38:00	Vs
25/10/2022 10:39:00	Vp
25/10/2022 10:44:00	Psweep
25/10/2022 12:43:00	Vp
25/10/2022 12:47:00	Vs
25/10/2022 13:50:00	Vp
25/10/2022 13:54:00	Psweep
25/10/2022 14:55:00	Vp
25/10/2022 14:58:00	Vs
25/10/2022 16:01:00	Vp
25/10/2022 16:05:00	Psweep
25/10/2022 17:11:00	Vp
25/10/2022 17:14:00	Vs
26/10/2022 08:50:00	Vp
26/10/2022 08:53:20	Psweep
26/10/2022 09:54:00	Vp
26/10/2022 09:58:00	Vs
26/10/2022 11:01:00	Vp
26/10/2022 11:04:00	Psweep
26/10/2022 13:25:00	Vp
26/10/2022 13:29:00	Vs
26/10/2022 14:33:00	Vp
26/10/2022 14:37:00	Psweep
26/10/2022 17:53:00	Vp
26/10/2022 17:56:00	Vs
27/10/2022 08:15:00	Vp
27/10/2022 08:19:00	Psweep
27/10/2022 09:22:00	Vp
27/10/2022 09:25:00	Vs
27/10/2022 10:26:00	Vp
27/10/2022 10:30:00	Psweep
27/10/2022 11:32:00	Vp
27/10/2022 11:36:00	Vs
27/10/2022 12:51:00	Vp
27/10/2022 12:56:00	Psweep
27/10/2022 13:58:00	Vp
27/10/2022 14:02:00	Vs
27/10/2022 15:06:00	Vp
27/10/2022 15:09:00	Psweep
27/10/2022 16:11:00	Vp
27/10/2022 16:14:00	Vs
