waveform	[0]		[1]	
t0	26/10/2022  09:55:55,755052		26/10/2022  09:55:55,755052	
delta t	4,000000E-7		4,000000E-7	

time[0]	Y[0]	time[1]	Y[1]
26/10/2022  09:55:55,755052	3,517588E-1	26/10/2022  09:55:55,755052	-1,708543E-4
26/10/2022  09:55:55,755052	3,517588E-1	26/10/2022  09:55:55,755052	-1,809045E-4
26/10/2022  09:55:55,755053	3,517588E-1	26/10/2022  09:55:55,755053	-1,608040E-4
26/10/2022  09:55:55,755053	3,517588E-1	26/10/2022  09:55:55,755053	-1,507538E-4
26/10/2022  09:55:55,755054	3,517588E-1	26/10/2022  09:55:55,755054	-1,708543E-4
26/10/2022  09:55:55,755054	3,517588E-1	26/10/2022  09:55:55,755054	-2,110553E-4
26/10/2022  09:55:55,755054	3,517588E-1	26/10/2022  09:55:55,755054	-1,809045E-4
26/10/2022  09:55:55,755055	3,517588E-1	26/10/2022  09:55:55,755055	-1,206030E-4
26/10/2022  09:55:55,755055	3,517588E-1	26/10/2022  09:55:55,755055	-1,809045E-4
26/10/2022  09:55:55,755056	3,517588E-1	26/10/2022  09:55:55,755056	-1,809045E-4
26/10/2022  09:55:55,755056	3,517588E-1	26/10/2022  09:55:55,755056	-1,608040E-4
26/10/2022  09:55:55,755056	3,517588E-1	26/10/2022  09:55:55,755056	-1,507538E-4
26/10/2022  09:55:55,755057	3,517588E-1	26/10/2022  09:55:55,755057	-1,708543E-4
26/10/2022  09:55:55,755057	3,517588E-1	26/10/2022  09:55:55,755057	-1,708543E-4
26/10/2022  09:55:55,755058	3,517588E-1	26/10/2022  09:55:55,755058	-1,809045E-4
26/10/2022  09:55:55,755058	3,517588E-1	26/10/2022  09:55:55,755058	-1,507538E-4
26/10/2022  09:55:55,755058	3,517588E-1	26/10/2022  09:55:55,755058	-1,608040E-4
26/10/2022  09:55:55,755059	3,517588E-1	26/10/2022  09:55:55,755059	-1,809045E-4
26/10/2022  09:55:55,755059	3,517588E-1	26/10/2022  09:55:55,755059	-1,809045E-4
26/10/2022  09:55:55,755060	3,517588E-1	26/10/2022  09:55:55,755060	-1,507538E-4
26/10/2022  09:55:55,755060	3,517588E-1	26/10/2022  09:55:55,755060	-1,608040E-4
26/10/2022  09:55:55,755060	3,517588E-1	26/10/2022  09:55:55,755060	-2,010050E-4
26/10/2022  09:55:55,755061	3,517588E-1	26/10/2022  09:55:55,755061	-1,507538E-4
26/10/2022  09:55:55,755061	3,517588E-1	26/10/2022  09:55:55,755061	-1,407035E-4
26/10/2022  09:55:55,755062	3,517588E-1	26/10/2022  09:55:55,755062	-2,311558E-4
26/10/2022  09:55:55,755062	3,517588E-1	26/10/2022  09:55:55,755062	-1,306533E-4
26/10/2022  09:55:55,755062	3,517588E-1	26/10/2022  09:55:55,755062	-1,407035E-4
26/10/2022  09:55:55,755063	3,517588E-1	26/10/2022  09:55:55,755063	-1,809045E-4
26/10/2022  09:55:55,755063	3,517588E-1	26/10/2022  09:55:55,755063	-1,608040E-4
26/10/2022  09:55:55,755064	3,517588E-1	26/10/2022  09:55:55,755064	-1,708543E-4
26/10/2022  09:55:55,755064	3,517588E-1	26/10/2022  09:55:55,755064	-1,608040E-4
26/10/2022  09:55:55,755064	3,517588E-1	26/10/2022  09:55:55,755064	-1,708543E-4
26/10/2022  09:55:55,755065	3,517588E-1	26/10/2022  09:55:55,755065	-1,708543E-4
26/10/2022  09:55:55,755065	3,517588E-1	26/10/2022  09:55:55,755065	-1,708543E-4
26/10/2022  09:55:55,755066	3,517588E-1	26/10/2022  09:55:55,755066	-1,708543E-4
26/10/2022  09:55:55,755066	3,517588E-1	26/10/2022  09:55:55,755066	-1,809045E-4
26/10/2022  09:55:55,755066	3,517588E-1	26/10/2022  09:55:55,755066	-1,608040E-4
26/10/2022  09:55:55,755067	3,517588E-1	26/10/2022  09:55:55,755067	-1,507538E-4
26/10/2022  09:55:55,755067	3,517588E-1	26/10/2022  09:55:55,755067	-1,608040E-4
26/10/2022  09:55:55,755068	3,517588E-1	26/10/2022  09:55:55,755068	-1,708543E-4
26/10/2022  09:55:55,755068	3,517588E-1	26/10/2022  09:55:55,755068	-1,708543E-4
26/10/2022  09:55:55,755068	3,517588E-1	26/10/2022  09:55:55,755068	-1,708543E-4
26/10/2022  09:55:55,755069	3,517588E-1	26/10/2022  09:55:55,755069	-1,206030E-4
26/10/2022  09:55:55,755069	3,517588E-1	26/10/2022  09:55:55,755069	-1,708543E-4
26/10/2022  09:55:55,755070	3,517588E-1	26/10/2022  09:55:55,755070	-1,909548E-4
26/10/2022  09:55:55,755070	3,517588E-1	26/10/2022  09:55:55,755070	-1,608040E-4
26/10/2022  09:55:55,755070	3,517588E-1	26/10/2022  09:55:55,755070	-1,507538E-4
26/10/2022  09:55:55,755071	3,517588E-1	26/10/2022  09:55:55,755071	-2,010050E-4
26/10/2022  09:55:55,755071	3,517588E-1	26/10/2022  09:55:55,755071	-1,005025E-4
