waveform	[0]		[1]	
t0	24/10/2022  15:22:58,677474		24/10/2022  15:22:58,677474	
delta t	4,000000E-7		4,000000E-7	

time[0]	Y[0]	time[1]	Y[1]
24/10/2022  15:22:58,677496	2,010050E-1	24/10/2022  15:22:58,677496	-1,005025E-4
24/10/2022  15:22:58,677496	1,884422E-1	24/10/2022  15:22:58,677496	-2,512563E-4
24/10/2022  15:22:58,677497	1,884422E-1	24/10/2022  15:22:58,677497	-1,407035E-4
24/10/2022  15:22:58,677497	1,884422E-1	24/10/2022  15:22:58,677497	-1,407035E-4
24/10/2022  15:22:58,677498	2,010050E-1	24/10/2022  15:22:58,677498	-1,005025E-4
24/10/2022  15:22:58,677498	2,010050E-1	24/10/2022  15:22:58,677498	-1,909548E-4
24/10/2022  15:22:58,677498	2,010050E-1	24/10/2022  15:22:58,677498	-1,708543E-4
24/10/2022  15:22:58,677499	2,010050E-1	24/10/2022  15:22:58,677499	-1,909548E-4
24/10/2022  15:22:58,677499	2,010050E-1	24/10/2022  15:22:58,677499	-2,010050E-4
24/10/2022  15:22:58,677500	2,010050E-1	24/10/2022  15:22:58,677500	-2,110553E-4
24/10/2022  15:22:58,677500	1,884422E-1	24/10/2022  15:22:58,677500	-1,507538E-4
24/10/2022  15:22:58,677500	1,884422E-1	24/10/2022  15:22:58,677500	-1,507538E-4
24/10/2022  15:22:58,677501	2,010050E-1	24/10/2022  15:22:58,677501	-1,407035E-4
24/10/2022  15:22:58,677501	2,010050E-1	24/10/2022  15:22:58,677501	-1,407035E-4
24/10/2022  15:22:58,677502	1,884422E-1	24/10/2022  15:22:58,677502	-2,311558E-4
24/10/2022  15:22:58,677502	2,010050E-1	24/10/2022  15:22:58,677502	-1,809045E-4
24/10/2022  15:22:58,677502	2,010050E-1	24/10/2022  15:22:58,677502	-1,507538E-4
24/10/2022  15:22:58,677503	2,010050E-1	24/10/2022  15:22:58,677503	-1,608040E-4
24/10/2022  15:22:58,677503	2,010050E-1	24/10/2022  15:22:58,677503	-1,708543E-4
24/10/2022  15:22:58,677504	1,884422E-1	24/10/2022  15:22:58,677504	-1,608040E-4
24/10/2022  15:22:58,677504	1,884422E-1	24/10/2022  15:22:58,677504	-1,407035E-4
24/10/2022  15:22:58,677504	2,010050E-1	24/10/2022  15:22:58,677504	-1,909548E-4
24/10/2022  15:22:58,677505	1,884422E-1	24/10/2022  15:22:58,677505	-1,608040E-4
24/10/2022  15:22:58,677505	2,010050E-1	24/10/2022  15:22:58,677505	-1,507538E-4
24/10/2022  15:22:58,677506	2,010050E-1	24/10/2022  15:22:58,677506	-1,708543E-4
24/10/2022  15:22:58,677506	2,010050E-1	24/10/2022  15:22:58,677506	-1,909548E-4
24/10/2022  15:22:58,677506	2,010050E-1	24/10/2022  15:22:58,677506	-1,507538E-4
24/10/2022  15:22:58,677507	2,010050E-1	24/10/2022  15:22:58,677507	-1,608040E-4
24/10/2022  15:22:58,677507	1,884422E-1	24/10/2022  15:22:58,677507	-1,909548E-4
24/10/2022  15:22:58,677508	1,884422E-1	24/10/2022  15:22:58,677508	-1,507538E-4
24/10/2022  15:22:58,677508	2,010050E-1	24/10/2022  15:22:58,677508	-1,507538E-4
24/10/2022  15:22:58,677508	1,884422E-1	24/10/2022  15:22:58,677508	-1,306533E-4
24/10/2022  15:22:58,677509	2,010050E-1	24/10/2022  15:22:58,677509	-2,211055E-4
24/10/2022  15:22:58,677509	2,010050E-1	24/10/2022  15:22:58,677509	-1,708543E-4
24/10/2022  15:22:58,677510	2,010050E-1	24/10/2022  15:22:58,677510	-1,608040E-4
24/10/2022  15:22:58,677510	2,010050E-1	24/10/2022  15:22:58,677510	-1,909548E-4
24/10/2022  15:22:58,677510	1,884422E-1	24/10/2022  15:22:58,677510	-1,306533E-4
24/10/2022  15:22:58,677511	2,010050E-1	24/10/2022  15:22:58,677511	-1,809045E-4
24/10/2022  15:22:58,677511	1,884422E-1	24/10/2022  15:22:58,677511	-1,809045E-4
24/10/2022  15:22:58,677512	1,884422E-1	24/10/2022  15:22:58,677512	-1,909548E-4
24/10/2022  15:22:58,677512	2,010050E-1	24/10/2022  15:22:58,677512	-1,005025E-4
24/10/2022  15:22:58,677512	2,010050E-1	24/10/2022  15:22:58,677512	-1,809045E-4
24/10/2022  15:22:58,677513	2,010050E-1	24/10/2022  15:22:58,677513	-1,507538E-4
24/10/2022  15:22:58,677513	1,884422E-1	24/10/2022  15:22:58,677513	-2,713568E-4
24/10/2022  15:22:58,677514	2,010050E-1	24/10/2022  15:22:58,677514	-1,206030E-4
24/10/2022  15:22:58,677514	1,884422E-1	24/10/2022  15:22:58,677514	-1,507538E-4
24/10/2022  15:22:58,677514	1,884422E-1	24/10/2022  15:22:58,677514	-1,306533E-4
24/10/2022  15:22:58,677515	2,010050E-1	24/10/2022  15:22:58,677515	-1,909548E-4
24/10/2022  15:22:58,677515	2,010050E-1	24/10/2022  15:22:58,677515	-1,507538E-4
24/10/2022  15:22:58,677516	1,884422E-1	24/10/2022  15:22:58,677516	-1,407035E-4
24/10/2022  15:22:58,677516	1,884422E-1	24/10/2022  15:22:58,677516	-1,306533E-4
24/10/2022  15:22:58,677516	1,884422E-1	24/10/2022  15:22:58,677516	-2,010050E-4
24/10/2022  15:22:58,677517	2,010050E-1	24/10/2022  15:22:58,677517	-1,708543E-4
24/10/2022  15:22:58,677517	2,010050E-1	24/10/2022  15:22:58,677517	-1,005025E-4
24/10/2022  15:22:58,677518	2,010050E-1	24/10/2022  15:22:58,677518	-2,110553E-4
24/10/2022  15:22:58,677518	2,010050E-1	24/10/2022  15:22:58,677518	-1,206030E-4
24/10/2022  15:22:58,677518	2,010050E-1	24/10/2022  15:22:58,677518	-2,211055E-4
24/10/2022  15:22:58,677519	2,010050E-1	24/10/2022  15:22:58,677519	-1,809045E-4
24/10/2022  15:22:58,677519	2,010050E-1	24/10/2022  15:22:58,677519	-1,507538E-4
24/10/2022  15:22:58,677520	2,010050E-1	24/10/2022  15:22:58,677520	-1,407035E-4
24/10/2022  15:22:58,677520	2,010050E-1	24/10/2022  15:22:58,677520	-2,311558E-4
24/10/2022  15:22:58,677520	1,884422E-1	24/10/2022  15:22:58,677520	-1,306533E-4
24/10/2022  15:22:58,677521	1,884422E-1	24/10/2022  15:22:58,677521	-1,809045E-4
24/10/2022  15:22:58,677521	2,010050E-1	24/10/2022  15:22:58,677521	-1,608040E-4
24/10/2022  15:22:58,677522	2,010050E-1	24/10/2022  15:22:58,677522	-1,005025E-4
24/10/2022  15:22:58,677522	1,884422E-1	24/10/2022  15:22:58,677522	-2,110553E-4
24/10/2022  15:22:58,677522	1,884422E-1	24/10/2022  15:22:58,677522	-1,206030E-4
24/10/2022  15:22:58,677523	1,884422E-1	24/10/2022  15:22:58,677523	-1,909548E-4
24/10/2022  15:22:58,677523	2,010050E-1	24/10/2022  15:22:58,677523	-2,211055E-4
24/10/2022  15:22:58,677524	1,884422E-1	24/10/2022  15:22:58,677524	-1,206030E-4
24/10/2022  15:22:58,677524	1,884422E-1	24/10/2022  15:22:58,677524	-1,206030E-4
24/10/2022  15:22:58,677524	2,010050E-1	24/10/2022  15:22:58,677524	-1,105528E-4
24/10/2022  15:22:58,677525	1,884422E-1	24/10/2022  15:22:58,677525	-2,211055E-4
24/10/2022  15:22:58,677525	2,010050E-1	24/10/2022  15:22:58,677525	-1,206030E-4
